company_id,year,net_profit_margin,operational_profit_margin,returns_on_equity,returns_on_capital_employment,returns_on_assets,debt_to_equity,high_leverage_flag,interest_coverage_ratio,icr_label,icr_warning_flag,net_debt,asset_turn_over
SIEMENS,2022-09,9.561,11.526,13.290,15.773,7.673,0.016,False,65.194,,False,181.000,0.803
SIEMENS,2023-09,10.034,12.719,14.992,18.753,9.064,0.013,False,129.696,,False,174.000,0.903
SIEMENS,2024-09,12.221,13.957,17.699,19.852,10.744,0.018,False,67.150,,False,278.000,0.879
SUNPHARMA,2013-03,31.165,42.979,23.142,31.370,17.024,0.017,False,109.163,,False,-2152.000,0.546
SUNPHARMA,2014-03,24.123,43.551,20.939,33.212,13.332,0.138,False,114.432,,False,-225.000,0.553
SUNPHARMA,2015-03,19.991,28.819,21.359,22.793,11.239,0.351,False,14.123,,False,6280.000,0.562
SUNPHARMA,2016-03,19.862,28.694,17.154,19.706,10.208,0.258,False,15.549,,False,6667.000,0.514
SUNPHARMA,2017-03,24.846,31.991,21.414,21.738,12.842,0.268,False,26.780,,False,8640.000,0.517
SUNPHARMA,2018-03,9.596,21.258,6.635,11.563,3.954,0.271,False,10.610,,False,3242.000,0.412
SUNPHARMA,2019-03,11.037,21.940,7.747,12.282,4.967,0.254,False,11.025,,False,2611.000,0.450
SUNPHARMA,2020-03,12.705,21.265,9.217,13.033,6.118,0.184,False,24.307,,False,-1828.000,0.482
SUNPHARMA,2021-03,6.782,25.285,4.890,16.828,3.360,0.083,False,35.610,,False,-5743.000,0.495
SUNPHARMA,2022-03,8.768,26.538,7.059,20.807,4.857,0.027,False,53.173,,False,-11559.000,0.554
SUNPHARMA,2023-03,19.398,26.546,15.203,18.527,10.547,0.123,False,70.401,,False,-7938.000,0.544
SUNPHARMA,2024-03,19.816,26.843,15.094,19.447,11.265,0.051,False,58.332,,False,-11752.000,0.568
TATACONSUM,2013-03,6.054,10.475,9.252,12.421,5.060,0.289,False,9.833,,False,811.000,0.836
TATACONSUM,2014-03,6.591,9.718,8.719,10.320,5.146,0.246,False,10.598,,False,827.000,0.781
TATACONSUM,2015-03,3.415,9.909,4.970,11.618,2.886,0.241,False,8.720,,False,702.000,0.845
TATACONSUM,2016-03,-0.557,5.515,-0.592,4.815,-0.374,0.217,False,3.453,,False,-12.000,0.671
TATACONSUM,2017-03,6.711,11.667,7.263,11.217,4.764,0.126,False,20.442,,False,-664.000,0.710
TATACONSUM,2018-03,8.158,12.311,7.908,10.359,5.315,0.152,False,17.538,,False,-93.000,0.651
TATACONSUM,2019-03,6.302,10.838,6.233,9.277,4.200,0.156,False,11.667,,False,-47.000,0.666
TATACONSUM,2020-03,4.773,13.407,3.330,8.389,2.490,0.115,False,16.362,,False,263.000,0.522
TATACONSUM,2021-03,8.016,13.308,6.399,9.550,4.600,0.112,False,22.397,,False,828.000,0.574
TATACONSUM,2022-03,8.169,13.835,6.703,10.384,4.816,0.093,False,20.770,,False,615.000,0.590
TATACONSUM,2023-03,9.577,13.466,8.110,10.382,5.799,0.098,False,16.800,,False,167.000,0.606
TATACONSUM,2024-03,7.990,15.020,7.567,11.692,4.358,0.217,False,25.322,,False,2606.000,0.545
TATAMOTORS,2013-03,5.284,13.028,26.506,26.924,5.926,1.427,False,6.969,,False,44951.000,1.122
TATAMOTORS,2014-03,6.034,14.969,21.416,27.607,6.432,0.924,False,7.306,,False,49955.000,1.066
TATAMOTORS,2015-03,5.348,14.911,25.013,30.214,5.930,1.308,False,8.219,,False,58273.000,1.109
TATAMOTORS,2016-03,4.277,14.062,14.791,25.888,4.437,0.879,False,7.307,,False,45593.000,1.037
TATAMOTORS,2017-03,2.802,10.971,13.015,21.651,2.772,1.354,False,7.423,,False,58266.000,0.989
TATAMOTORS,2018-03,3.118,10.790,9.527,17.062,2.778,0.932,False,7.986,,False,68137.000,0.891
TATAMOTORS,2019-03,-9.513,8.169,-47.731,14.826,-9.396,1.764,False,-0.351,,True,90404.000,0.988
TATAMOTORS,2020-03,-4.587,6.890,-18.984,9.574,-3.740,1.978,False,2.497,,False,108480.000,0.815
TATAMOTORS,2021-03,-5.362,12.925,-24.246,16.358,-3.922,2.573,False,2.614,,False,117511.000,0.731
TATAMOTORS,2022-03,-4.061,8.878,-25.379,12.942,-3.437,3.286,False,2.915,,False,117069.000,0.846
TATAMOTORS,2023-03,0.778,9.196,5.935,17.731,0.804,2.959,False,3.763,,False,107734.000,1.034
TATAMOTORS,2024-03,7.263,13.595,37.456,30.980,8.608,1.263,False,6.530,,False,84291.000,1.185
TATAPOWER,2013-03,0.371,16.864,0.997,11.142,0.183,3.071,False,2.260,,False,34762.000,0.493
TATAPOWER,2014-03,0.034,19.358,0.097,13.155,0.017,3.239,False,2.077,,False,37154.000,0.500
TATAPOWER,2015-03,1.360,18.757,3.192,11.472,0.608,2.836,False,1.989,,False,37162.000,0.447
TATAPOWER,2016-03,2.665,7.137,6.757,4.170,1.122,3.340,False,1.905,,False,27064.000,0.421
TATAPOWER,2017-03,3.987,19.838,8.325,8.823,1.328,3.694,False,2.012,,False,36942.000,0.333
TATAPOWER,2018-03,9.728,8.551,15.922,3.531,3.188,2.963,False,2.361,,False,36160.000,0.328
TATAPOWER,2019-03,8.721,10.274,14.237,4.595,3.100,2.650,False,2.459,,False,34964.000,0.355
TATAPOWER,2020-03,4.517,23.356,6.726,9.517,1.468,2.654,False,2.022,,False,37401.000,0.325
TATAPOWER,2021-03,4.400,21.163,6.446,10.026,1.459,2.092,False,2.169,,False,33559.000,0.331
TATAPOWER,2022-03,5.036,16.421,9.607,9.548,1.916,2.281,False,2.466,,False,37035.000,0.380
TATAPOWER,2023-03,6.914,14.023,13.235,9.458,2.974,1.838,False,3.035,,False,36253.000,0.430
TATAPOWER,2024-03,6.965,17.470,13.228,12.476,3.078,1.659,False,3.054,,False,37373.000,0.442
TATASTEEL,2013-03,-5.398,2.943,-21.281,3.861,-4.951,2.005,False,1.363,,True,65271.000,0.917
TATASTEEL,2014-03,2.466,10.890,9.042,13.248,2.136,2.014,False,3.897,,False,76536.000,0.866
TATASTEEL,2015-03,-2.824,2.444,-12.565,3.042,-2.476,2.574,False,1.940,,False,77246.000,0.877
TATASTEEL,2016-03,-0.487,-0.613,-1.136,-0.497,-0.281,1.875,False,2.303,,False,71273.000,0.576
TATASTEEL,2017-03,-3.712,11.704,-11.024,10.878,-2.418,2.195,False,1.844,,False,70557.000,0.651
TATASTEEL,2018-03,14.396,17.390,29.149,14.007,8.501,1.514,False,5.927,,False,74248.000,0.590
